time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2018-12-28 16:00:00,1.26814,1.27077,1.26713,1.2698,23191,12,0,2018-12-28 16:30:00,2018-12-28 19:00:00
2018-12-28 20:00:00,1.2698,1.27057,1.2686,1.26945,7848,7,0,2018-12-28 21:00:00,2018-12-28 22:30:00
2018-12-31 00:00:00,1.26907,1.2702,1.26836,1.26843,5088,10,0,2018-12-31 03:30:00,2018-12-31 01:00:00
2018-12-31 04:00:00,1.26843,1.26918,1.26836,1.26874,5222,6,0,2018-12-31 06:30:00,2018-12-31 07:00:00
2018-12-31 08:00:00,1.26874,1.2745,1.26794,1.2737,12953,7,0,2018-12-31 08:30:00,2018-12-31 09:30:00
2018-12-31 12:00:00,1.27371,1.28106,1.27368,1.27865,16347,12,0,2018-12-31 12:00:00,2018-12-31 15:00:00
2018-12-31 16:00:00,1.2787,1.28137,1.27182,1.2745,21991,12,0,2018-12-31 18:00:00,2018-12-31 17:30:00
2018-12-31 20:00:00,1.27445,1.27575,1.27247,1.27443,5208,12,0,2018-12-31 21:30:00,2018-12-31 21:30:00
2019-01-02 04:00:00,1.27302,1.27567,1.27286,1.27566,3751,4,0,2019-01-02 06:00:00,2019-01-02 07:30:00
2019-01-02 08:00:00,1.27562,1.27727,1.26868,1.26881,20284,4,0,2019-01-02 11:30:00,2019-01-02 08:00:00
2019-01-02 12:00:00,1.26881,1.27022,1.26022,1.26085,22221,12,0,2019-01-02 15:30:00,2019-01-02 12:00:00
2019-01-02 16:00:00,1.26085,1.26252,1.25802,1.25858,30971,12,0,2019-01-02 18:00:00,2019-01-02 17:00:00
2019-01-02 20:00:00,1.25858,1.26158,1.25847,1.26057,10769,12,0,2019-01-02 20:00:00,2019-01-02 22:00:00
2019-01-03 00:00:00,1.26058,1.26093,1.23953,1.25467,14300,12,0,2019-01-03 00:30:00,2019-01-03 00:00:00
2019-01-03 04:00:00,1.25466,1.25592,1.25395,1.25451,9314,12,0,2019-01-03 07:00:00,2019-01-03 04:30:00
2019-01-03 08:00:00,1.2545,1.2587,1.25377,1.25798,19547,12,0,2019-01-03 10:00:00,2019-01-03 11:00:00
2019-01-03 12:00:00,1.25798,1.25994,1.25504,1.25894,22161,12,0,2019-01-03 13:00:00,2019-01-03 15:30:00
2019-01-03 16:00:00,1.25894,1.26467,1.25758,1.26422,36735,12,0,2019-01-03 16:00:00,2019-01-03 19:30:00
2019-01-03 20:00:00,1.26422,1.26459,1.26228,1.26286,12946,12,0,2019-01-03 21:30:00,2019-01-03 20:00:00
